C,delta,k,r,sm,sf,EqInvEig,EqInvEigNM,DiffEQInvEig
0.75,0.2,6.38,0,0.043940077,0.340659099,3,1,2
0.75,0.2,6.38,0,0.088335513,0.36358213,3,1,2
0.75,0.2,6.38,0,0.108697384,0.381433045,3,1,2
0.75,0.2,6.38,0,0.07278793,0.301905831,3,1,2
0.75,0.2,6.38,0,0.069644491,0.244113676,3,1,2
0.75,0.2,6.38,0,0.054555691,0.375749238,2,0,2
0.75,0.2,6.38,0,0.133964044,0.479493169,3,1,2
0.75,0.2,6.38,0,0.041685572,0.227591577,2,0,2
0.75,0.2,6.38,0,0.119895421,0.474122619,3,1,2
0.75,0.2,6.38,0,0.020774756,0.169598792,3,1,2
0.75,0.2,6.38,0,0.043414246,0.325988573,3,1,2
0.75,0.2,6.38,0,0.054113082,0.443874307,3,1,2
0.75,0.2,6.38,0,0.06650308,0.424766913,2,0,2
0.75,0.2,6.38,0,0.01158641,0.04490499,3,1,2
0.75,0.2,6.38,0,0.034482525,0.253351319,2,0,2
0.75,0.2,6.38,0,0.063570426,0.355068821,2,0,2
0.75,0.2,6.38,0,0.088866576,0.348540898,3,1,2
0.75,0.2,6.38,0,0.050505159,0.448457753,3,1,2
0.75,0.2,6.38,0,0.076686015,0.33903245,3,1,2
0.75,0.2,6.38,0,0.011002979,0.040441305,3,1,2
0.75,0.2,6.38,0,0.043968482,0.238330712,2,0,2
0.75,0.2,6.38,0,0.093926524,0.399088963,3,1,2
0.75,0.2,6.38,0,0.058148748,0.28006688,2,0,2
0.75,0.2,6.38,0,0.114905571,0.451305781,3,1,2
0.75,0.2,6.38,0,0.129436739,0.475626243,3,1,2
0.75,0.2,6.38,0,0.050268536,0.276591757,2,0,2
0.75,0.2,6.38,0,0.055569333,0.395858343,2,0,2
0.75,0.2,6.38,0,0.043034361,0.201220593,2,0,2
0.75,0.2,6.38,0,0.049530124,0.203667823,3,1,2
0.75,0.2,6.38,0,0.073503578,0.278388525,3,1,2
0.75,0.2,6.38,0,0.073891814,0.454169953,2,0,2
0.75,0.2,6.38,0,0.056002488,0.47235054,3,1,2
0.75,0.2,6.38,0,0.066080916,0.267169247,3,1,2
0.75,0.2,6.38,0,0.071155888,0.35428926,2,0,2
0.75,0.2,6.38,0,0.055671071,0.489388654,3,1,2
0.75,0.2,6.38,0,0.051337528,0.454450444,3,1,2
